2026-07-10 14:57:07 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:07 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:08 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:08 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:09 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:09 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:10 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:10 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:11 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:11 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:12 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:12 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:13 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:13 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:14 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:14 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
